service_id,date,exception_type
296.10.4,20250414,1
296.133.4,20250414,1
296.10.4,20250415,1
296.133.4,20250415,1
296.10.4,20250416,1
296.133.4,20250416,1
296.10.4,20250417,1
296.133.4,20250417,1
296.10.4,20250418,1
296.133.4,20250418,1
296.2769.4,20250418,1
296.10.4,20250421,1
296.133.4,20250421,1
296.10.4,20250422,1
296.133.4,20250422,1
296.10.4,20250423,1
296.133.4,20250423,1
296.10.4,20250424,1
296.133.4,20250424,1
296.10.4,20250425,1
296.133.4,20250425,1
296.2769.4,20250425,1
296.10.4,20250428,1
296.10.4,20250429,1
296.10.4,20250430,1
296.10.4,20250501,1
296.10.4,20250502,1
296.2769.4,20250502,1
296.127.2,20250503,1
296.10.4,20250505,1
296.10.4,20250506,1
296.10.4,20250507,1
296.10.4,20250508,1
296.10.4,20250509,1
296.2769.4,20250509,1
296.127.2,20250510,1
296.10.4,20250512,1
296.10.4,20250513,1
296.10.4,20250514,1
296.10.4,20250515,1
296.10.4,20250516,1
296.2769.4,20250516,1
296.127.2,20250517,1
296.10.4,20250519,1
296.10.4,20250520,1
296.10.4,20250521,1
296.10.4,20250522,1
296.10.4,20250523,1
296.2769.4,20250523,1
296.127.2,20250524,1
296.0.22,20250526,1
296.0.4,20250526,2
296.10.4,20250527,1
296.1562.4,20250527,1
296.10.4,20250528,1
296.1562.4,20250528,1
296.10.4,20250529,1
296.1562.4,20250529,1
296.10.4,20250530,1
296.1562.4,20250530,1
296.2769.4,20250530,1
296.127.2,20250531,1
296.1562.4,20250602,1
296.1562.4,20250603,1
296.1562.4,20250604,1
296.1562.4,20250605,1
296.713.4,20250606,1
296.1562.4,20250606,1
296.2769.4,20250606,1
296.127.2,20250607,1
296.1562.4,20250609,1
296.1562.4,20250610,1
296.1562.4,20250611,1
296.1562.4,20250612,1
296.713.4,20250613,1
296.1562.4,20250613,1
296.2769.4,20250613,1
296.127.2,20250614,1
296.1562.4,20250616,1
296.1562.4,20250617,1
296.1562.4,20250618,1
296.1562.4,20250619,1
296.713.4,20250620,1
296.1562.4,20250620,1
296.2769.4,20250620,1
296.127.2,20250621,1
296.1562.4,20250623,1
296.1562.4,20250624,1
296.1562.4,20250625,1
296.1562.4,20250626,1
296.713.4,20250627,1
296.1562.4,20250627,1
296.2769.4,20250627,1
296.127.2,20250628,1
296.1562.4,20250630,1
296.1562.4,20250701,1
296.1562.4,20250702,1
296.1562.4,20250703,1
296.0.23,20250704,1
296.0.4,20250704,2
296.127.2,20250705,1
296.1562.4,20250707,1
296.1562.4,20250708,1
296.1562.4,20250709,1
296.1562.4,20250710,1
296.713.4,20250711,1
296.1562.4,20250711,1
296.2769.4,20250711,1
296.127.2,20250712,1
296.1562.4,20250714,1
296.1562.4,20250715,1
296.1562.4,20250716,1
296.1562.4,20250717,1
296.713.4,20250718,1
296.1562.4,20250718,1
296.2769.4,20250718,1
296.127.2,20250719,1
296.1562.4,20250721,1
296.1562.4,20250722,1
296.1562.4,20250723,1
296.0.15,20250724,1
296.0.4,20250724,2
296.713.4,20250725,1
296.1562.4,20250725,1
296.2769.4,20250725,1
296.127.2,20250726,1
296.1562.4,20250728,1
296.1562.4,20250729,1
296.1562.4,20250730,1
296.1562.4,20250731,1
296.713.4,20250801,1
296.1562.4,20250801,1
296.2769.4,20250801,1
296.127.2,20250802,1
296.1562.4,20250804,1
296.1562.4,20250805,1
296.1562.4,20250806,1
296.1562.4,20250807,1
296.713.4,20250808,1
296.1562.4,20250808,1
296.2769.4,20250808,1
296.127.2,20250809,1
296.1562.4,20250811,1
296.1562.4,20250812,1
296.1562.4,20250813,1
296.1562.4,20250814,1
296.713.4,20250815,1
296.1562.4,20250815,1
296.2769.4,20250815,1
296.127.2,20250816,1
