route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
79372,296.0.2,5499660,Poplar Grove (400 S + Redwood Rd),,0,1186433,236888,1,1
79372,296.0.2,5499654,Poplar Grove (400 S + Redwood Rd),,0,1189061,236888,2,2
79372,296.0.2,5499651,Poplar Grove (400 S + Redwood Rd),,0,1186435,236888,1,1
79372,296.0.2,5499661,Poplar Grove (400 S + Redwood Rd),,0,1186432,236888,1,1
79372,296.0.2,5499649,Poplar Grove (400 S + Redwood Rd),,0,1189062,236888,2,2
79372,296.0.2,5499650,Poplar Grove (400 S + Redwood Rd),,0,1186433,236888,1,1
79372,296.0.2,5499662,Poplar Grove (400 S + Redwood Rd),,0,1189061,236888,2,2
79372,296.0.2,5499648,Poplar Grove (400 S + Redwood Rd),,0,1186435,236888,1,1
79372,296.0.2,5499647,Poplar Grove (400 S + Redwood Rd),,0,1186432,236888,1,1
79372,296.0.2,5499655,Poplar Grove (400 S + Redwood Rd),,0,1186434,236888,1,1
79372,296.0.2,5499652,Poplar Grove (400 S + Redwood Rd),,0,1186433,236888,1,1
79372,296.0.2,5499653,Poplar Grove (400 S + Redwood Rd),,0,1186431,236888,1,1
79372,296.0.2,5499656,Poplar Grove (400 S + Redwood Rd),,0,1186435,236888,1,1
79372,296.0.2,5499657,Poplar Grove (400 S + Redwood Rd),,0,1186432,236888,1,1
79372,296.0.2,5499658,Poplar Grove (400 S + Redwood Rd),,0,1186434,236888,1,1
79372,296.0.2,5499659,Poplar Grove (400 S + Redwood Rd),,0,1186433,236888,1,1
79372,296.0.2,5499673,Olympus Cove P+R,,1,1189061,236889,2,2
79372,296.0.2,5499676,Olympus Cove P+R,,1,1186435,236889,1,1
79372,296.0.2,5499667,Olympus Cove P+R,,1,1186432,236889,1,1
79372,296.0.2,5499670,Olympus Cove P+R,,1,1189062,236889,2,2
79372,296.0.2,5499677,Olympus Cove P+R,,1,1186433,236889,1,1
79372,296.0.2,5499665,Olympus Cove P+R,,1,1189061,236889,2,2
79372,296.0.2,5499671,Olympus Cove P+R,,1,1186435,236889,1,1
79372,296.0.2,5499678,Olympus Cove P+R,,1,1186432,236889,1,1
79372,296.0.2,5499663,Olympus Cove P+R,,1,1186434,236889,1,1
79372,296.0.2,5499672,Olympus Cove P+R,,1,1186433,236889,1,1
79372,296.0.2,5499668,Olympus Cove P+R,,1,1186431,236889,1,1
79372,296.0.2,5499669,Olympus Cove P+R,,1,1186435,236889,1,1
79372,296.0.2,5499664,Olympus Cove P+R,,1,1186432,236889,1,1
79372,296.0.2,5499666,Olympus Cove P+R,,1,1186434,236889,1,1
79372,296.0.2,5499674,Olympus Cove P+R,,1,1186433,236889,1,1
79372,296.0.2,5499675,Olympus Cove P+R,,1,1186431,236889,1,1
41354,296.0.2,5499780,International Center - 1940 West Station,,0,1188795,236890,1,1
41354,296.0.2,5499778,International Center - 1940 West Station,,0,1186458,236890,1,1
41354,296.0.2,5499779,International Center - 1940 West Station,,0,1186410,236890,1,1
41354,296.0.2,5499781,International Center - 1940 West Station,,0,1186458,236890,1,1
41354,296.0.2,5499777,International Center - 1940 West Station,,0,1186459,236890,1,1
41354,296.0.2,5499776,International Center - 1940 West Station,,0,1186460,236890,1,1
45409,296.0.2,5499854,U of U (Union Building),,0,1189057,236891,2,2
45409,296.0.2,5499855,U of U (Union Building),,0,1189060,236891,2,2
45409,296.0.2,5499856,U of U (Union Building),,0,1186576,236891,1,1
45409,296.0.2,5499857,U of U (Union Building),,0,1189055,236891,2,2
45409,296.0.2,5499822,U of U (Union Building),,0,1189058,236891,2,2
45409,296.0.2,5499826,U of U (Union Building),,0,1188997,236891,1,1
45409,296.0.2,5499818,U of U (Union Building),,0,1188998,236891,1,1
45409,296.0.2,5499827,U of U (Union Building),,0,1188999,236891,1,1
45409,296.0.2,5499808,U of U (Union Building),,0,1189056,236891,2,2
45409,296.0.2,5499828,U of U (Union Building),,0,1189001,236891,1,1
45409,296.0.2,5499804,U of U (Union Building),,0,1186873,236891,1,1
45409,296.0.2,5499829,U of U (Union Building),,0,1186587,236891,1,1
45409,296.0.2,5499810,U of U (Union Building),,0,1189057,236891,2,2
45409,296.0.2,5499830,U of U (Union Building),,0,1189004,236891,1,1
45409,296.0.2,5499823,U of U (Union Building),,0,1188993,236891,1,1
45409,296.0.2,5499831,U of U (Union Building),,0,1189005,236891,1,1
45409,296.0.2,5499815,U of U (Union Building),,0,1189006,236891,1,1
45409,296.0.2,5499832,U of U (Union Building),,0,1188994,236891,1,1
45409,296.0.2,5499807,U of U (Union Building),,0,1189063,236891,2,2
45409,296.0.2,5499833,U of U (Union Building),,0,1189055,236891,2,2
45409,296.0.2,5499801,U of U (Union Building),,0,1189008,236891,1,1
45409,296.0.2,5499834,U of U (Union Building),,0,1189058,236891,2,2
45409,296.0.2,5499814,U of U (Union Building),,0,1188997,236891,1,1
45409,296.0.2,5499835,U of U (Union Building),,0,1188998,236891,1,1
45409,296.0.2,5499821,U of U (Union Building),,0,1188999,236891,1,1
45409,296.0.2,5499836,U of U (Union Building),,0,1189056,236891,2,2
45409,296.0.2,5499817,U of U (Union Building),,0,1189001,236891,1,1
45409,296.0.2,5499837,U of U (Union Building),,0,1189002,236891,1,1
45409,296.0.2,5499809,U of U (Union Building),,0,1186587,236891,1,1
45409,296.0.2,5499838,U of U (Union Building),,0,1188992,236891,1,1
45409,296.0.2,5499802,U of U (Union Building),,0,1189004,236891,1,1
45409,296.0.2,5499839,U of U (Union Building),,0,1188993,236891,1,1
45409,296.0.2,5499813,U of U (Union Building),,0,1189005,236891,1,1
45409,296.0.2,5499840,U of U (Union Building),,0,1189006,236891,1,1
45409,296.0.2,5499820,U of U (Union Building),,0,1188994,236891,1,1
45409,296.0.2,5499841,U of U (Union Building),,0,1189007,236891,1,1
45409,296.0.2,5499819,U of U (Union Building),,0,1188995,236891,1,1
45409,296.0.2,5499842,U of U (Union Building),,0,1189008,236891,1,1
45409,296.0.2,5499806,U of U (Union Building),,0,1188996,236891,1,1
45409,296.0.2,5499843,U of U (Union Building),,0,1188997,236891,1,1
45409,296.0.2,5499800,U of U (Union Building),,0,1188998,236891,1,1
45409,296.0.2,5499844,U of U (Union Building),,0,1188999,236891,1,1
45409,296.0.2,5499811,U of U (Union Building),,0,1189000,236891,1,1
45409,296.0.2,5499845,U of U (Union Building),,0,1189001,236891,1,1
45409,296.0.2,5499825,U of U (Union Building),,0,1189002,236891,1,1
45409,296.0.2,5499846,U of U (Union Building),,0,1189047,236891,2,2
45409,296.0.2,5499816,U of U (Union Building),,0,1188992,236891,1,1
45409,296.0.2,5499847,U of U (Union Building),,0,1189049,236891,2,2
45409,296.0.2,5499858,U of U (Union Building),,0,1188993,236891,1,1
45409,296.0.2,5499848,U of U (Union Building),,0,1189005,236891,1,1
45409,296.0.2,5499803,U of U (Union Building),,0,1189006,236891,1,1
45409,296.0.2,5499849,U of U (Union Building),,0,1188994,236891,1,1
45409,296.0.2,5499812,U of U (Union Building),,0,1189007,236891,1,1
45409,296.0.2,5499850,U of U (Union Building),,0,1188995,236891,1,1
45409,296.0.2,5499824,U of U (Union Building),,0,1189050,236891,2,2
45409,296.0.2,5499853,U of U (Union Building),,0,1188996,236891,1,1
45409,296.0.2,5499859,U of U (Union Building),,0,1188997,236891,1,1
45409,296.0.2,5499851,U of U (Union Building),,0,1188999,236891,1,1
45409,296.0.2,5499805,U of U (Union Building),,0,1189001,236891,1,1
45409,296.0.2,5499852,U of U (Union Building),,0,1189047,236891,2,2
45409,296.0.2,5499860,U of U (Union Building),,0,1189049,236891,2,2
45409,296.0.2,5499861,U of U (Union Building),,0,1186815,236891,1,1
45409,296.0.2,5499862,U of U (Union Building),,0,1186618,236891,1,1
45409,296.0.2,5499863,U of U (Union Building),,0,1186603,236891,1,1
45409,296.0.2,5499864,U of U (Union Building),,0,1189050,236891,2,2
45409,296.0.2,5499865,U of U (Union Building),,0,1188990,236891,1,1
45409,296.0.2,5499866,U of U (Union Building),,0,1186742,236891,1,1
45409,296.0.2,5499922,Poplar Grove (Orange St),,1,1189056,236892,2,2
45409,296.0.2,5499923,Poplar Grove (Orange St),,1,1186873,236892,1,1
45409,296.0.2,5499924,Poplar Grove (Orange St),,1,1189057,236892,2,2
45409,296.0.2,5499925,Poplar Grove (Orange St),,1,1189060,236892,2,2
45409,296.0.2,5499926,Poplar Grove (Orange St),,1,1186576,236892,1,1
45409,296.0.2,5499893,Poplar Grove (Orange St),,1,1189063,236892,2,2
45409,296.0.2,5499887,Poplar Grove (Orange St),,1,1189055,236892,2,2
45409,296.0.2,5499906,Poplar Grove (Orange St),,1,1189008,236892,1,1
45409,296.0.2,5499881,Poplar Grove (Orange St),,1,1189058,236892,2,2
45409,296.0.2,5499894,Poplar Grove (Orange St),,1,1188997,236892,1,1
45409,296.0.2,5499890,Poplar Grove (Orange St),,1,1188998,236892,1,1
45409,296.0.2,5499907,Poplar Grove (Orange St),,1,1188999,236892,1,1
45409,296.0.2,5499884,Poplar Grove (Orange St),,1,1189056,236892,2,2
45409,296.0.2,5499895,Poplar Grove (Orange St),,1,1189001,236892,1,1
45409,296.0.2,5499873,Poplar Grove (Orange St),,1,1186873,236892,1,1
