stop_id,stop_name,route_id,route_long_name,route_short_name
10044490,"Gilmore and Forest Fair Dr NB",5638,"R3 - Oxford-Forest Park Connector","R3"
10228005,"Fairfield Crossing Park & Ride",5640,"R6 - Job Connector","R6 "
10228005,"Fairfield Crossing Park & Ride",5638,"R3 - Oxford-Forest Park Connector","R3"
7235679,"MTS Transit Station",5632,"Gold Line","GL"
7235679,"MTS Transit Station",5633,"Green Line","GRL"
7235679,"MTS Transit Station",5620,"Blue Line","BL"
7235679,"MTS Transit Station",5636,"Red Line","RL"
7235679,"MTS Transit Station",5635,"R1 - Hamilton/Middletown Shuttle","R1"
7235680,"First Ave at Clinton St South Bound",5632,"Gold Line","GL"
7235680,"First Ave at Clinton St South Bound",5620,"Blue Line","BL"
7235681,"First Ave at Curtis St South Bound",5632,"Gold Line","GL"
7235681,"First Ave at Curtis St South Bound",5620,"Blue Line","BL"
7235682,"First Ave at Baltimore",5632,"Gold Line","GL"
7235682,"First Ave at Baltimore",5620,"Blue Line","BL"
7235683,"First Ave at Garfield St",5632,"Gold Line","GL"
7235683,"First Ave at Garfield St",5620,"Blue Line","BL"
7235684,"First Ave at Grimes St",5632,"Gold Line","GL"
7235684,"First Ave at Grimes St",5620,"Blue Line","BL"
7235685,"First Ave at Moore St",5620,"Blue Line","BL"
7235686,"Central Ave at Suthphin St",5620,"Blue Line","BL"
7235687,"Sutphin St at Arlington Ave",5620,"Blue Line","BL"
7235688,"Sutphin St at Sherman Ave East Bound",5620,"Blue Line","BL"
7235689,"Grand Ave at Stanley Ave",5620,"Blue Line","BL"
7235690,"Grand Ave at Highland Ave (Eastbound)",5620,"Blue Line","BL"
7235691,"Grand Ave at Florence St",5620,"Blue Line","BL"
7235692,"Grand Ave at Orchard St (Eastbound)",5620,"Blue Line","BL"
7235693,"Grand Ave at Euclid St (Eastbound)",5620,"Blue Line","BL"
7235694,"Grand Ave at Kensington (Eastbound)",5620,"Blue Line","BL"
